field_76763_Q,worldGeneratorSwamp,net/minecraft/world/biome/BiomeGenBase
field_90053_a,theMinecraft,net/minecraft/client/Minecraft$4
field_145804_b,delayBeforeCanPickup,net/minecraft/entity/item/EntityItem
field_72409_l,whiteListEnforced,net/minecraft/server/management/ServerConfigurationManager
NORTH,NORTH,net/minecraft/util/EnumFacing
field_76213_e,data,net/minecraft/world/storage/MapData$MapCoord
field_74913_b,isRoofAccessible,net/minecraft/world/gen/structure/StructureVillagePieces$House4Garden
field_148905_d,field_148905_d,net/minecraft/network/play/server/S2DPacketOpenWindow
field_149374_a,field_149374_a,net/minecraft/network/play/server/S3DPacketDisplayScoreboard
field_145968_i,flowerPotData,net/minecraft/tileentity/TileEntityFlowerPot
field_146989_A,returningStackDestSlot,net/minecraft/client/gui/inventory/GuiContainer
field_70140_Q,distanceWalkedModified,net/minecraft/entity/Entity
field_149870_b,field_149870_b,net/minecraft/block/BlockTallGrass
field_78108_b,field_78108_b,net/minecraft/client/model/ModelMagmaCube
uncommon,uncommon,net/minecraft/item/EnumRarity
field_71158_b,movementInput,net/minecraft/client/entity/EntityPlayerSP
field_75946_m,distanceSwumStat,net/minecraft/stats/StatList
field_77138_c,FLAT,net/minecraft/world/WorldType
field_148114_d,field_148114_d,net/minecraft/client/util/JsonBlendingMode
field_149290_a,field_149290_a,net/minecraft/network/status/client/C01PacketPing
field_152783_a,field_152783_a,net/minecraft/client/resources/ResourceIndex
field_152742_b,field_152742_b,net/minecraft/server/management/PreYggdrasilConverter$5
field_150867_a,field_150867_a,net/minecraft/block/BlockPortal$Size
field_145783_c,entityId,net/minecraft/entity/Entity
field_148008_j,field_148008_j,net/minecraft/client/shader/ShaderManager
field_72755_R,glRenderLists,net/minecraft/client/renderer/RenderGlobal
field_73062_L,theEntityTracker,net/minecraft/world/WorldServer
field_75206_c,structurePieceList,net/minecraft/world/gen/structure/StructureStrongholdPieces
field_146044_a,field_146044_a,net/minecraft/entity/projectile/EntityFishHook
field_75835_d,index,net/minecraft/pathfinding/PathPoint
field_75239_a,craftMatrix,net/minecraft/inventory/SlotCrafting
field_77492_a,lanServerMotd,net/minecraft/client/network/LanServerDetector$LanServer
field_147000_g,ySize,net/minecraft/client/gui/inventory/GuiContainer
field_70159_w,motionX,net/minecraft/entity/Entity
field_73133_n,playerEntitiesUpdated,net/minecraft/entity/EntityTrackerEntry
field_151113_aN,clock,net/minecraft/init/Items
field_149561_c,field_149561_c,net/minecraft/network/play/client/C17PacketCustomPayload
field_82432_p,zombieVillagerModel,net/minecraft/client/renderer/entity/RenderZombie
field_82857_m,repairedItemName,net/minecraft/inventory/ContainerRepair
field_75329_f,watchedClass,net/minecraft/entity/ai/EntityAIWatchClosest
field_78248_d,posX2,net/minecraft/client/model/ModelBox
field_73097_j,receivedFinishDiggingPacket,net/minecraft/server/management/ItemInWorldManager
field_76698_a,lastUpdated,net/minecraft/world/chunk/storage/ChunkLoader$AnvilConverterData
field_75514_c,currentPath,net/minecraft/pathfinding/PathNavigate
field_71175_ci,oldPosZ,net/minecraft/client/entity/EntityClientPlayerMP
field_151656_f,tntColor,net/minecraft/block/material/MapColor
field_151165_aa,iron_leggings,net/minecraft/init/Items
field_151164_bB,written_book,net/minecraft/init/Items
field_151013_M,golden_hoe,net/minecraft/init/Items
field_135031_c,field_135031_c,net/minecraft/client/resources/Locale
field_75696_c,objectChanged,net/minecraft/entity/DataWatcher
field_70868_i,prevSquidRotation,net/minecraft/entity/passive/EntitySquid
field_146224_r,cursorPosition,net/minecraft/client/gui/GuiTextField
field_153055_m,field_153055_m,net/minecraft/client/stream/IngestServerTester
SKIN_HAT_U,SKIN_HAT_U,net/minecraft/realms/RealmsScreen
field_75326_b,leapTarget,net/minecraft/entity/ai/EntityAILeapAtTarget
field_75176_f,merchantInventory,net/minecraft/inventory/ContainerMerchant
field_74958_a,hasRails,net/minecraft/world/gen/structure/StructureMineshaftPieces$Corridor
field_151129_at,lava_bucket,net/minecraft/init/Items
field_151128_bU,quartz,net/minecraft/init/Items
field_152490_a,field_152490_a,net/minecraft/network/NetworkStatistics$Tracker
REQUEST_STATS,REQUEST_STATS,net/minecraft/network/play/client/C16PacketClientStatus$EnumState
field_77481_a,grassBuffer,net/minecraft/world/ColorizerGrass
field_151425_a,field_151425_a,net/minecraft/client/Minecraft$14
field_147103_bO,field_147103_bO,net/minecraft/entity/player/EntityPlayerMP
field_77351_y,type,net/minecraft/enchantment/Enchantment
field_70474_b,theInventory,net/minecraft/inventory/InventoryMerchant
field_147579_d,hasTexture,net/minecraft/client/shader/TesselatorVertexState
field_149119_a,field_149119_a,net/minecraft/network/play/server/S39PacketPlayerAbilities
field_147920_a,field_147920_a,net/minecraft/client/renderer/entity/RenderFallingBlock
field_154350_b,field_154350_b,net/minecraft/server/ServerEula
field_76420_g,damageBoost,net/minecraft/potion/Potion
field_150047_a,field_150047_a,net/minecraft/block/BlockButton
field_76009_c,maxDisplayColumn,net/minecraft/stats/AchievementList
field_147560_j,field_147560_j,net/minecraft/client/renderer/tileentity/TileEntityRendererDispatcher
field_146313_a,field_146313_a,net/minecraft/client/gui/GuiErrorScreen
field_78105_b,blazeHead,net/minecraft/client/model/ModelBlaze
field_71432_P,theMinecraft,net/minecraft/client/Minecraft
field_70771_an,maxHurtResistantTime,net/minecraft/entity/EntityLivingBase
Stopping,Stopping,net/minecraft/client/stream/BroadcastController$BroadcastState
field_75342_a,theWorld,net/minecraft/entity/ai/EntityAIFollowOwner
field_151594_q,circuits,net/minecraft/block/material/Material
field_151614_a,field_151614_a,net/minecraft/world/gen/NoiseGeneratorSimplex
field_110976_a,framesTextureData,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_76442_z,field_76442_z,net/minecraft/potion/Potion
field_76020_v,snipeSkeleton,net/minecraft/stats/AchievementList
field_150159_N,field_150159_N,net/minecraft/block/BlockSandStone
field_70259_a,entityDragonObj,net/minecraft/entity/boss/EntityDragonPart
field_145982_r,cachedChestType,net/minecraft/tileentity/TileEntityChest
field_77340_h,respiration,net/minecraft/enchantment/Enchantment
field_111243_a,field_111243_a,net/minecraft/inventory/ContainerHorseInventory
field_73020_y,chunkProvider,net/minecraft/world/World
field_85109_a,worldInfoInstance,net/minecraft/world/storage/WorldInfo$9
field_78409_u,drawMode,net/minecraft/client/renderer/Tessellator
eat,eat,net/minecraft/item/EnumAction
field_76947_d,biomeGenerator,net/minecraft/world/biome/WorldChunkManagerHell
$VALUES,$VALUES,net/minecraft/item/Item$ToolMaterial
field_150157_a,field_150157_a,net/minecraft/block/BlockSandStone
field_152398_ap,field_152398_ap,net/minecraft/client/settings/GameSettings
field_145942_n,field_145942_n,net/minecraft/tileentity/TileEntityBrewingStand
field_110839_f,endermanTextures,net/minecraft/client/renderer/entity/RenderEnderman
field_110530_g,mcmetaJson,net/minecraft/client/resources/SimpleResource
field_147129_ai,jvm64bit,net/minecraft/client/Minecraft
field_148565_d,field_148565_d,net/minecraft/client/audio/SoundList$SoundEntry
field_152659_a,field_152659_a,net/minecraft/server/management/PlayerProfileCache
field_75350_f,hasStoppedDoorInteraction,net/minecraft/entity/ai/EntityAIDoorInteract
field_76370_b,onFire,net/minecraft/util/DamageSource
field_75283_c,targetX,net/minecraft/entity/ai/EntityAITempt
field_146341_s,field_146341_s,net/minecraft/client/gui/GuiCreateWorld
field_78426_e,cameraY,net/minecraft/client/renderer/RenderList
field_147415_a,logger,net/minecraft/client/multiplayer/ServerList
field_74970_a,theNetherBridgePieceWeight,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Start
field_73840_e,persistantChatGUI,net/minecraft/client/gui/GuiIngame
field_78036_m,tabInventory,net/minecraft/creativetab/CreativeTabs
field_146576_f,field_146576_f,net/minecraft/client/gui/GuiWinGame
field_76382_s,projectile,net/minecraft/util/DamageSource
field_148257_b,playerID,net/minecraft/util/Session
field_74816_c,languageList,net/minecraft/util/StringTranslate
field_149248_e,field_149248_e,net/minecraft/network/play/server/S28PacketEffect
field_150778_a,field_150778_a,net/minecraft/network/NetworkManager$3
field_76823_i,dirtGen,net/minecraft/world/biome/BiomeDecorator
field_78298_i,renderEngine,net/minecraft/client/gui/FontRenderer
field_149350_b,field_149350_b,net/minecraft/network/play/server/S33PacketUpdateSign
field_150429_aA,redstone_torch,net/minecraft/init/Blocks
field_149769_e,soundTypeStone,net/minecraft/block/Block
field_76645_j,entityLists,net/minecraft/world/chunk/Chunk
field_77276_a,chunkXPos,net/minecraft/world/ChunkCoordIntPair
field_110927_h,locationMoonPhasesPng,net/minecraft/client/renderer/RenderGlobal
field_74592_a,objectX,net/minecraft/client/renderer/ActiveRenderInfo
field_70787_b,hasAttacked,net/minecraft/entity/EntityCreature
field_76032_d,slotHash,net/minecraft/util/IntHashMap$Entry
field_73191_g,noiseData5,net/minecraft/world/gen/ChunkProviderEnd
field_152773_a,field_152773_a,net/minecraft/profiler/PlayerUsageSnooper
STREAM_COMPRESSION,STREAM_COMPRESSION,net/minecraft/client/settings/GameSettings$Options
field_75274_b,frontDoor,net/minecraft/entity/ai/EntityAIRestrictOpenDoor
field_110893_a,caveSpiderTextures,net/minecraft/client/renderer/entity/RenderCaveSpider
field_150415_aT,trapdoor,net/minecraft/init/Blocks
field_164003_c,field_164003_c,net/minecraft/network/rcon/RConThreadBase
field_149981_a,field_149981_a,net/minecraft/block/BlockBed
field_149791_x,blockConstructorCalled,net/minecraft/block/Block
field_146062_d,field_146062_d,net/minecraft/entity/EntityHanging
field_150845_b,field_150845_b,net/minecraft/block/BlockRedstoneTorch$Toggle
field_70254_i,inGround,net/minecraft/entity/projectile/EntityArrow
port,port,net/minecraft/realms/RealmsServerAddress
field_150747_h,isClientSide,net/minecraft/network/NetworkManager
field_94084_b,tntPlacedBy,net/minecraft/entity/item/EntityTNTPrimed
field_150275_g,lastTranslationUpdateTimeInMilliseconds,net/minecraft/util/ChatComponentTranslation
field_74896_a,villagersSpawned,net/minecraft/world/gen/structure/StructureVillagePieces$Village
field_149262_d,field_149262_d,net/minecraft/network/play/server/S26PacketMapChunkBulk
field_94192_a,originX,net/minecraft/client/renderer/texture/Stitcher$Slot
field_77850_cb,potionDuration,net/minecraft/item/ItemFood
field_150482_ag,diamond_ore,net/minecraft/init/Blocks
field_150481_bH,jungle_stairs,net/minecraft/init/Blocks
field_146588_g,field_146588_g,net/minecraft/client/LoadingScreenRenderer
field_110184_bp,field_110184_bp,net/minecraft/entity/monster/EntityWitch
field_146470_A,buttonNextPage,net/minecraft/client/gui/GuiScreenBook
field_78491_C,thirdPersonDistanceTemp,net/minecraft/client/renderer/EntityRenderer
field_150983_e,field_150983_e,net/minecraft/item/ItemFishFood$FishType
field_75244_a,player,net/minecraft/inventory/ContainerBrewingStand$Potion
field_98282_f,randomEntity,net/minecraft/tileentity/MobSpawnerBaseLogic
field_76843_c,cacheMap,net/minecraft/world/biome/BiomeCache
field_78450_g,equippedItemSlot,net/minecraft/client/renderer/ItemRenderer
field_74930_j,field_74930_j,net/minecraft/world/gen/structure/StructureVillagePieces$Start
field_78501_T,fovMultiplierTemp,net/minecraft/client/renderer/EntityRenderer
NO_FBO,NO_FBO,net/minecraft/client/gui/stream/GuiStreamUnavailable$Reason
field_110737_b,particleTextures,net/minecraft/client/particle/EffectRenderer
field_94111_a,pushX,net/minecraft/entity/item/EntityMinecartFurnace
field_75768_d,mapDataDir,net/minecraft/world/storage/SaveHandler
field_75377_e,distanceFromEntity,net/minecraft/entity/ai/EntityAIAvoidEntity
field_96677_a,theScoreboard,net/minecraft/scoreboard/ScorePlayerTeam
EASY,EASY,net/minecraft/world/EnumDifficulty
field_148591_a,field_148591_a,net/minecraft/client/audio/SoundManager$SoundSystemStarterThread
field_76107_h,sizeOnDisk,net/minecraft/world/storage/WorldInfo
field_150082_a,isSticky,net/minecraft/block/BlockPistonBase
field_149986_M,field_149986_M,net/minecraft/block/BlockPumpkin
field_147870_ao,brightnessTopRight,net/minecraft/client/renderer/RenderBlocks
field_146401_i,field_146401_i,net/minecraft/client/gui/ScreenChatOptions
field_150925_a,field_150925_a,net/minecraft/item/ItemSeeds
field_70960_bC,blacksmithSellingList,net/minecraft/entity/passive/EntityVillager
field_151183_A,field_151183_A,net/minecraft/stats/StatList
field_151273_d,mcServer,net/minecraft/network/NetworkSystem
field_77181_b,yCoord,net/minecraft/world/NextTickListEntry
RED,RED,net/minecraft/util/EnumChatFormatting
field_78145_g,field_78145_g,net/minecraft/client/model/ModelQuadruped
field_149155_e,field_149155_e,net/minecraft/network/play/server/S27PacketExplosion
field_150917_c,field_150917_c,net/minecraft/item/ItemAxe
field_147884_z,aoLightValueScratchXYZNNP,net/minecraft/client/renderer/RenderBlocks
field_150317_a,logger,net/minecraft/nbt/JsonToNBT
field_150602_h,height_HighPlateaus,net/minecraft/world/biome/BiomeGenBase
field_148106_i,field_148106_i,net/minecraft/client/shader/ShaderUniform
field_70575_a,particleScaleOverTime,net/minecraft/client/particle/EntityHeartFX
field_120021_b,field_120021_b,net/minecraft/server/gui/MinecraftServerGui
field_145916_j,field_145916_j,net/minecraft/tileentity/TileEntitySign
field_147307_j,guiScreenServer,net/minecraft/client/network/NetHandlerPlayClient
field_82697_g,hasDecoration,net/minecraft/world/gen/ChunkProviderFlat
field_78238_c,invertNormal,net/minecraft/client/model/TexturedQuad
field_153206_m,field_153206_m,net/minecraft/client/renderer/OpenGlHelper
field_147831_S,aoBrightnessXYNN,net/minecraft/client/renderer/RenderBlocks
field_78742_a,primaryComponents,net/minecraft/world/gen/structure/StructureNetherBridgePieces
field_72307_f,hitVec,net/minecraft/util/MovingObjectPosition
field_148617_f,loaded,net/minecraft/client/audio/SoundManager
field_148162_h,mouseY,net/minecraft/client/gui/GuiSlot
field_74421_a,mc,net/minecraft/client/Minecraft$5
field_94102_c,entityName,net/minecraft/entity/item/EntityMinecart
field_74909_b,isTallHouse,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut
field_146046_j,field_146046_j,net/minecraft/entity/projectile/EntityFishHook
field_72338_b,minY,net/minecraft/util/AxisAlignedBB
field_146297_k,mc,net/minecraft/client/gui/GuiScreen
field_149379_a,field_149379_a,net/minecraft/network/play/server/S1CPacketEntityMetadata
field_110712_l,tailBase,net/minecraft/client/model/ModelHorse
field_145963_i,currentItemBurnTime,net/minecraft/tileentity/TileEntityFurnace
field_78928_m,skipRenderPass,net/minecraft/client/renderer/WorldRenderer
field_148321_e,field_148321_e,net/minecraft/client/resources/ResourcePackListEntryDefault
field_146591_a,field_146591_a,net/minecraft/client/gui/GuiScreenWorking
field_76575_d,isHellWorld,net/minecraft/world/WorldProvider
field_72414_i,ops,net/minecraft/server/management/ServerConfigurationManager
field_71184_b,otherPlayerMPPosRotationIncrements,net/minecraft/client/entity/EntityOtherPlayerMP
field_152960_l,field_152960_l,net/minecraft/client/stream/TwitchStream
field_151418_d,field_151418_d,net/minecraft/network/play/client/C02PacketUseEntity$Action
field_77198_c,defaultLightValue,net/minecraft/world/EnumSkyBlock
field_110608_a,defaultResourceDomains,net/minecraft/client/resources/DefaultResourcePack
field_152746_b,field_152746_b,net/minecraft/server/management/PreYggdrasilConverter$6
field_75426_g,maxTargetDistance,net/minecraft/entity/ai/EntityAIMoveTowardsTarget
field_149869_a,field_149869_a,net/minecraft/block/BlockPotato
Starting,Starting,net/minecraft/client/stream/IngestServerTester$IngestTestState
field_148036_j,field_148036_j,net/minecraft/client/shader/ShaderGroup
field_78803_o,textureOffsetX,net/minecraft/client/model/ModelRenderer
field_148196_n,field_148196_n,net/minecraft/client/gui/ServerSelectionList
field_75225_a,slotIndex,net/minecraft/inventory/Slot
field_77500_a,localServerList,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind
field_78122_k,bipedCloak,net/minecraft/client/model/ModelBiped
field_72746_N,renderersBeingRendered,net/minecraft/client/renderer/RenderGlobal
field_148290_d,field_148290_d,net/minecraft/client/gui/ServerListEntryLanDetected
field_150606_ad,plantNoise,net/minecraft/world/biome/BiomeGenBase
field_78135_a,head,net/minecraft/client/model/ModelCreeper
field_146444_f,field_146444_f,net/minecraft/client/gui/GuiIngameMenu
field_71131_d,managedPosX,net/minecraft/entity/player/EntityPlayerMP
field_76235_G,canBurn,net/minecraft/block/material/Material
field_70166_s,prevPosZ,net/minecraft/entity/Entity
field_76720_a,emptySector,net/minecraft/world/chunk/storage/RegionFile
field_75525_c,unseenEntities,net/minecraft/entity/ai/EntitySenses
field_75152_c,windowId,net/minecraft/inventory/Container
field_146021_j,field_146021_j,net/minecraft/tileentity/TileEntityDispenser
field_82861_i,field_82861_i,net/minecraft/inventory/ContainerRepair
field_147005_v,clickedSlot,net/minecraft/client/gui/inventory/GuiContainer
field_146164_r,field_146164_r,net/minecraft/client/gui/GuiLabel
field_75332_b,theWatcher,net/minecraft/entity/ai/EntityAIWatchClosest
field_75055_e,villageSpawnBiomes,net/minecraft/world/gen/structure/MapGenVillage
field_74953_a,corridorDirection,net/minecraft/world/gen/structure/StructureMineshaftPieces$Cross
field_111266_c,knockbackResistance,net/minecraft/entity/SharedMonsterAttributes
field_146108_bO,field_146108_bO,net/minecraft/client/entity/EntityClientPlayerMP
field_151660_b,airColor,net/minecraft/block/material/MapColor
field_152496_a,field_152496_a,net/minecraft/network/NetworkStatistics$PacketStatData
field_146128_h,xPosition,net/minecraft/client/gui/GuiButton
field_151452_as,saturation,net/minecraft/client/settings/GameSettings
Connecting,Connecting,net/minecraft/client/stream/ChatController$ChatState
field_78223_m,partialTicks,net/minecraft/client/model/ModelDragon
field_149528_b,field_149528_b,net/minecraft/network/play/client/C15PacketClientSettings
field_147484_a,addedTileEntityList,net/minecraft/world/World
field_152389_a,field_152389_a,net/minecraft/client/Minecraft$15
field_78096_f,flippingPageLeft,net/minecraft/client/model/ModelBook
field_153018_p,field_153018_p,net/minecraft/client/stream/ChatController
AMBIENT,AMBIENT,net/minecraft/client/audio/SoundCategory
field_73251_h,worldObj,net/minecraft/world/gen/ChunkProviderServer
field_151672_u,limeColor,net/minecraft/block/material/MapColor
Graham,Graham,net/minecraft/entity/item/EntityPainting$EnumArt
field_151155_ap,sign,net/minecraft/init/Items
field_151154_bQ,firework_charge,net/minecraft/init/Items
field_110584_c,mapTextureCounters,net/minecraft/client/renderer/texture/TextureManager
field_77002_a,field_77002_a,net/minecraft/client/renderer/entity/RenderFireball
field_96245_b,field_96245_b,net/minecraft/server/MinecraftServer$1
field_150041_a,field_150041_a,net/minecraft/block/BlockCactus
field_152804_b,field_152804_b,net/minecraft/client/resources/SkinManager$3$1
field_75348_a,childAnimal,net/minecraft/entity/ai/EntityAIFollowParent
UNKNOWN,UNKNOWN,net/minecraft/util/Util$EnumOS
field_151082_bd,beef,net/minecraft/init/Items
field_147983_a,field_147983_a,net/minecraft/client/renderer/texture/TextureAtlasSprite$1
field_146554_D,field_146554_D,net/minecraft/client/gui/achievement/GuiAchievements
field_151039_o,wooden_pickaxe,net/minecraft/init/Items
field_152866_b,field_152866_b,net/minecraft/client/stream/BroadcastController
field_150326_M,piston_extension,net/minecraft/init/Blocks
field_147076_A,field_147076_A,net/minecraft/client/gui/GuiEnchantment
field_72772_v,starGLCallList,net/minecraft/client/renderer/RenderGlobal
field_130070_K,fileResourcepacks,net/minecraft/client/Minecraft
field_148214_q,field_148214_q,net/minecraft/client/gui/achievement/GuiStats$Stats
field_70261_a,innerRotation,net/minecraft/entity/item/EntityEnderCrystal
fishing_rod,fishing_rod,net/minecraft/enchantment/EnumEnchantmentType
field_150901_e,itemRegistry,net/minecraft/item/Item
field_111239_a,field_111239_a,net/minecraft/inventory/ContainerHorseInventory$1
field_72650_k,rconPassword,net/minecraft/network/rcon/RConThreadMain
field_151060_bw,speckled_melon,net/minecraft/init/Items
field_148243_c,field_148243_c,net/minecraft/client/gui/MapItemRenderer$Instance
field_152885_u,field_152885_u,net/minecraft/client/stream/BroadcastController
field_151383_a,field_151383_a,net/minecraft/client/util/JsonException
field_82731_v,wither,net/minecraft/potion/Potion
field_76024_r,buildSword,net/minecraft/stats/AchievementList
field_149882_a,field_149882_a,net/minecraft/block/BlockSapling
field_78721_f,itemRenderer,net/minecraft/client/renderer/entity/RenderManager
field_77329_d,fireProtection,net/minecraft/enchantment/Enchantment
field_145986_n,prevLidAngle,net/minecraft/tileentity/TileEntityChest
field_150544_b,field_150544_b,net/minecraft/world/gen/feature/WorldGenBlockBlob
field_77843_a,theToolMaterial,net/minecraft/item/ItemHoe
field_71582_c,directionToFacing,net/minecraft/util/Direction
field_73103_d,demoTimeExpired,net/minecraft/world/demo/DemoWorldManager
$VALUES,$VALUES,net/minecraft/client/audio/SoundList$SoundEntry$Type
field_152667_a,field_152667_a,net/minecraft/server/management/PlayerProfileCache$1
field_152811_a,field_152811_a,net/minecraft/client/stream/Metadata
field_147037_w,field_147037_w,net/minecraft/client/gui/GuiMerchant
field_71461_s,loadingScreen,net/minecraft/client/Minecraft
field_77343_v,flame,net/minecraft/enchantment/Enchantment
SKIN_TEX_WIDTH,SKIN_TEX_WIDTH,net/minecraft/realms/RealmsScreen
field_110534_c,resourceInputStream,net/minecraft/client/resources/SimpleResource
field_151472_e,keyCodeDefault,net/minecraft/client/settings/KeyBinding
field_146259_f,field_146259_f,net/minecraft/client/gui/achievement/GuiAchievement
MOJANG,MOJANG,net/minecraft/util/Session$Type
field_75156_f,lastCookTime,net/minecraft/inventory/ContainerFurnace
field_148337_c,namePartsArray,net/minecraft/util/EnchantmentNameParts
field_150945_c,field_150945_c,net/minecraft/item/ItemColored
field_149233_e,field_149233_e,net/minecraft/network/play/server/S2APacketParticles
field_150641_aE,field_150641_aE,net/minecraft/world/biome/BiomeGenTaiga
field_150774_a,field_150774_a,net/minecraft/network/NetworkManager$InboundHandlerTuplePacketListener
field_110328_d,pumpkinBlurTexPath,net/minecraft/client/gui/GuiIngame
field_146013_m,primaryEffect,net/minecraft/tileentity/TileEntityBeacon
field_147126_aw,mcMusicTicker,net/minecraft/client/Minecraft
field_149356_b,field_149356_b,net/minecraft/network/play/server/S0DPacketCollectItem
field_147063_B,field_147063_B,net/minecraft/client/gui/inventory/GuiContainerCreative
field_120039_c,field_120039_c,net/minecraft/server/gui/StatsComponent
field_152587_j,field_152587_j,net/minecraft/client/multiplayer/ServerData
field_74543_a,updateCounterCreated,net/minecraft/client/gui/ChatLine
field_149814_b,field_149814_b,net/minecraft/block/BlockDynamicLiquid
field_76385_p,isDamageAllowedInCreativeMode,net/minecraft/util/DamageSource
field_76344_a,snooper,net/minecraft/profiler/PlayerUsageSnooper$1
field_70773_bE,jumpTicks,net/minecraft/entity/EntityLivingBase
field_76511_m,heightLimitLimit,net/minecraft/world/gen/feature/WorldGenBigTree
field_94258_i,listAnimatedSprites,net/minecraft/client/renderer/texture/TextureMap
$VALUES,$VALUES,net/minecraft/server/network/NetHandlerLoginServer$LoginState
field_110920_a,chickenTextures,net/minecraft/client/renderer/entity/RenderChicken
field_75906_d,baseSeed,net/minecraft/world/gen/layer/GenLayer
field_110620_b,rprDefaultResourcePack,net/minecraft/client/resources/ResourcePackRepository
field_76634_f,heightMap,net/minecraft/world/chunk/Chunk
field_73195_c,noiseData1,net/minecraft/world/gen/ChunkProviderEnd
STREAM_VOLUME_MIC,STREAM_VOLUME_MIC,net/minecraft/client/settings/GameSettings$Options
field_149584_h,field_149584_h,net/minecraft/network/play/client/C08PacketPlayerBlockPlacement
field_76833_y,waterlilyPerChunk,net/minecraft/world/biome/BiomeDecorator
field_70180_af,dataWatcher,net/minecraft/entity/Entity
field_77574_d,recipeItems,net/minecraft/item/crafting/ShapedRecipes
field_149784_t,lightValue,net/minecraft/block/Block
field_149320_a,field_149320_a,net/minecraft/network/play/server/S3EPacketTeams
field_72639_u,output,net/minecraft/network/rcon/RConThreadQuery
field_150737_e,attrKeySendable,net/minecraft/network/NetworkManager
field_146608_a,field_146608_a,net/minecraft/client/gui/GuiSnooper
field_150279_c,stringVariablePattern,net/minecraft/util/ChatComponentTranslation
field_149590_d,field_149590_d,net/minecraft/network/play/client/C12PacketUpdateSign
field_70118_ct,serverPosX,net/minecraft/entity/Entity
field_146506_g,field_146506_g,net/minecraft/client/gui/GuiScreenOptionsSounds
field_76888_d,xPosition,net/minecraft/world/biome/BiomeCache$Block
field_150473_bD,tripwire,net/minecraft/init/Blocks
field_150474_ac,mob_spawner,net/minecraft/init/Blocks
field_152409_S,field_152409_S,net/minecraft/client/settings/GameSettings
field_78540_y,mouseFilterDummy2,net/minecraft/client/renderer/EntityRenderer
field_152331_a,field_152331_a,net/minecraft/client/gui/stream/GuiTwitchUserMode
field_110292_bC,field_110292_bC,net/minecraft/entity/passive/EntityHorse
